time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.988,0.502,0.096
0.020,-0.950,0.381,0.151
0.040,-0.875,0.351,0.149
0.060,-0.893,0.530,0.072
0.080,-0.955,0.704,-0.017
0.100,-0.954,0.679,0.017
0.120,-0.922,0.540,0.071
0.140,-0.969,0.522,0.035
0.160,-1.042,0.564,0.006
0.180,-1.034,0.497,0.069
0.200,-0.965,0.421,0.110
0.220,-0.966,0.489,0.064
0.240,-0.995,0.575,-0.040
0.260,-0.960,0.536,0.009
0.280,-0.925,0.474,0.031
0.300,-0.916,0.488,-0.006
0.320,-0.907,0.496,-0.081
0.340,-0.867,0.438,-0.085
0.360,-0.799,0.398,-0.021
0.380,-0.779,0.441,-0.038
0.400,-0.838,0.501,-0.061
0.420,-0.861,0.502,-0.000
0.440,-0.837,0.549,0.047
0.460,-0.865,0.596,0.036
0.480,-0.939,0.571,0.055
0.500,-0.999,0.513,0.074
0.520,-1.035,0.482,0.106
0.540,-1.077,0.510,0.161
0.560,-1.142,0.577,0.144
0.580,-1.170,0.562,0.064
0.600,-1.083,0.425,0.052
0.620,-1.051,0.330,0.036
0.640,-1.028,0.451,0.029
0.660,-1.026,0.590,-0.008
0.680,-0.954,0.547,0.094
0.700,-0.905,0.482,0.116
0.720,-0.912,0.506,0.042
0.740,-0.912,0.529,0.010
0.760,-0.879,0.507,0.039
0.780,-0.863,0.486,0.028
0.800,-0.851,0.520,0.015
0.820,-0.832,0.525,-0.027
0.840,-0.881,0.501,-0.020
0.860,-0.945,0.515,0.062
0.880,-0.942,0.612,0.096
0.900,-0.963,0.632,0.082
0.920,-0.979,0.586,0.072
0.940,-1.011,0.591,-0.052
0.960,-1.006,0.516,-0.095
0.980,-1.001,0.350,0.003
1.000,-0.963,0.292,0.120
1.020,-0.963,0.407,0.072
1.040,-0.995,0.556,-0.044
1.060,-0.993,0.565,-0.031
1.080,-0.989,0.538,0.062
1.100,-0.989,0.588,0.067
1.120,-1.012,0.572,0.011
1.140,-1.035,0.482,0.049
1.160,-1.043,0.411,0.046
1.180,-0.994,0.383,0.030
1.200,-0.982,0.422,0.012
1.220,-0.974,0.483,0.006
1.240,-0.947,0.513,-0.029
1.260,-0.929,0.484,-0.047
1.280,-0.916,0.458,-0.025
1.300,-0.914,0.475,-0.015
1.320,-0.907,0.500,-0.013
1.340,-0.878,0.495,-0.049
1.360,-0.840,0.456,-0.088
1.380,-0.867,0.458,-0.038
1.400,-0.886,0.534,-0.001
1.420,-0.878,0.597,-0.012
1.440,-0.901,0.550,0.006
1.460,-0.917,0.480,0.037
1.480,-0.925,0.474,0.021
1.500,-0.958,0.508,0.044
1.520,-0.986,0.547,0.066
1.540,-1.006,0.564,0.045
1.560,-1.032,0.539,0.060
1.580,-1.077,0.492,0.103
1.600,-1.085,0.470,0.135
1.620,-1.075,0.465,0.101
1.640,-1.037,0.460,0.069
1.660,-0.981,0.475,0.073
1.680,-0.958,0.530,0.068
1.700,-0.955,0.563,0.079
1.720,-0.927,0.534,0.112
1.740,-0.928,0.560,0.092
1.760,-0.967,0.604,0.020
1.780,-0.964,0.517,0.048
1.800,-0.994,0.401,0.143
1.820,-1.015,0.375,0.180
1.840,-1.002,0.433,0.117
1.860,-1.032,0.469,-0.002
1.880,-1.018,0.425,-0.030
1.900,-0.993,0.402,-0.005
1.920,-1.007,0.453,0.019
1.940,-1.019,0.489,0.038
1.960,-1.003,0.477,0.052
1.980,-0.987,0.488,0.028
2.000,-0.959,0.508,-0.017
2.020,-0.929,0.517,-0.018
2.040,-0.907,0.518,-0.010
2.060,-0.914,0.518,-0.020
2.080,-0.941,0.501,-0.054
2.100,-0.940,0.444,-0.070
2.120,-0.924,0.414,-0.060
2.140,-0.902,0.486,-0.100
2.160,-0.888,0.518,-0.159
2.180,-0.941,0.487,-0.071
2.200,-0.988,0.536,-0.033
2.220,-0.963,0.611,-0.098
2.240,-0.904,0.561,-0.103
2.260,-0.880,0.485,-0.079
2.280,-0.914,0.460,-0.126
2.300,-0.945,0.447,-0.069
2.320,-0.947,0.425,0.043
2.340,-0.932,0.446,0.057
2.360,-0.912,0.463,-0.004
2.380,-0.889,0.450,-0.044
2.400,-0.897,0.477,-0.055
2.420,-0.940,0.541,-0.022
2.440,-0.978,0.561,0.036
2.460,-1.004,0.503,0.124
2.480,-1.089,0.450,0.185
2.500,-1.167,0.467,0.111
2.520,-1.175,0.449,-0.018
2.540,-1.122,0.365,-0.024
2.560,-1.088,0.378,0.015
2.580,-1.074,0.502,0.013
2.600,-1.035,0.552,0.043
2.620,-0.974,0.492,0.081
2.640,-0.964,0.469,0.036
2.660,-0.977,0.504,-0.046
2.680,-0.941,0.500,-0.044
2.700,-0.896,0.462,0.001
2.720,-0.891,0.478,-0.005
2.740,-0.907,0.503,-0.071
2.760,-0.891,0.463,-0.075
2.780,-0.855,0.411,-0.065
2.800,-0.843,0.439,-0.091
2.820,-0.847,0.449,-0.119
2.840,-0.837,0.438,-0.039
2.860,-0.905,0.503,0.102
2.880,-0.913,0.584,0.125
2.900,-0.918,0.631,0.066
2.920,-1.012,0.601,0.042
2.940,-1.057,0.502,0.041
2.960,-1.074,0.417,0.076
2.980,-1.134,0.441,0.097
3.000,-1.165,0.521,-0.004
3.020,-1.124,0.452,-0.003
3.040,-1.037,0.393,0.030
3.060,-1.006,0.405,0.032
3.080,-1.004,0.433,0.125
3.100,-0.971,0.518,0.106
3.120,-0.941,0.539,0.027
3.140,-0.927,0.469,0.047
3.160,-0.924,0.446,0.042
3.180,-0.941,0.475,0.016
3.200,-0.952,0.475,0.006
3.220,-0.920,0.465,-0.025
3.240,-0.876,0.487,-0.094
3.260,-0.858,0.470,-0.131
3.280,-0.924,0.466,0.013
3.300,-0.970,0.570,0.073
3.320,-0.985,0.645,-0.009
3.340,-0.990,0.546,-0.017
3.360,-1.008,0.468,-0.009
3.380,-1.031,0.497,-0.092
3.400,-1.043,0.466,-0.055
3.420,-1.030,0.351,0.046
3.440,-0.994,0.275,0.055
3.460,-1.000,0.365,-0.030
3.480,-1.072,0.532,-0.106
3.500,-1.083,0.550,-0.005
3.520,-1.008,0.472,0.073
3.540,-1.022,0.465,-0.030
3.560,-1.094,0.499,-0.181
3.580,-1.082,0.454,-0.167
3.600,-1.043,0.411,-0.054
3.620,-1.006,0.491,0.020
3.640,-0.963,0.591,-0.029
3.660,-0.932,0.607,-0.092
3.680,-0.928,0.579,-0.133
3.700,-0.933,0.541,-0.242
3.720,-0.879,0.430,-0.281
3.740,-0.832,0.375,-0.235
3.760,-0.805,0.480,-0.191
3.780,-0.818,0.526,-0.281
3.800,-0.815,0.455,-0.304
3.820,-0.856,0.421,-0.318
3.840,-0.880,0.477,-0.292
3.860,-0.832,0.484,-0.229
3.880,-0.844,0.509,-0.307
3.900,-0.892,0.515,-0.385
3.920,-0.924,0.534,-0.326
3.940,-0.932,0.537,-0.243
3.960,-0.924,0.507,-0.244
3.980,-0.922,0.509,-0.313
4.000,-0.908,0.535,-0.334
4.020,-0.892,0.532,-0.291
4.040,-0.893,0.510,-0.266
4.060,-0.889,0.507,-0.286
4.080,-0.873,0.513,-0.327
