time,x-acceleration,y-acceleration,z-acceleration
0.000,-1.044,0.258,-0.022
0.020,-1.059,0.263,-0.040
0.040,-1.056,0.267,-0.050
0.060,-1.048,0.276,-0.052
0.080,-1.040,0.284,-0.044
0.100,-1.023,0.285,-0.016
0.120,-1.012,0.285,-0.003
0.140,-1.011,0.280,0.001
0.160,-0.999,0.290,0.006
0.180,-0.981,0.295,0.009
0.200,-0.947,0.284,0.026
0.220,-0.904,0.278,0.033
0.240,-0.888,0.268,0.009
0.260,-0.868,0.236,-0.007
0.280,-0.840,0.213,-0.011
0.300,-0.809,0.203,0.004
0.320,-0.787,0.195,0.021
0.340,-0.782,0.196,0.023
0.360,-0.792,0.211,0.033
0.380,-0.815,0.206,0.039
0.400,-0.837,0.167,-0.020
0.420,-0.866,0.154,-0.147
0.440,-0.894,0.180,-0.209
0.460,-0.907,0.175,-0.159
0.480,-0.935,0.151,-0.095
0.500,-0.964,0.152,-0.071
0.520,-1.012,0.135,-0.119
0.540,-1.020,0.143,-0.223
0.560,-1.001,0.171,-0.322
0.580,-0.984,0.179,-0.275
0.600,-0.989,0.215,-0.158
0.620,-1.027,0.198,-0.084
0.640,-1.083,0.216,-0.068
0.660,-1.144,0.229,-0.106
0.680,-1.198,0.237,-0.225
0.700,-1.222,0.276,-0.322
0.720,-1.240,0.311,-0.316
0.740,-1.265,0.321,-0.235
0.760,-1.318,0.314,-0.153
0.780,-1.388,0.307,-0.138
0.800,-1.435,0.285,-0.204
0.820,-1.435,0.316,-0.347
0.840,-1.425,0.353,-0.474
0.860,-1.413,0.414,-0.455
0.880,-1.403,0.423,-0.322
0.900,-1.433,0.365,-0.236
0.920,-1.474,0.304,-0.244
0.940,-1.504,0.284,-0.278
0.960,-1.517,0.291,-0.316
0.980,-1.516,0.298,-0.355
1.000,-1.486,0.328,-0.358
1.020,-1.443,0.339,-0.338
1.040,-1.402,0.341,-0.312
1.060,-1.350,0.333,-0.238
1.080,-1.311,0.317,-0.171
1.100,-1.302,0.300,-0.157
1.120,-1.299,0.304,-0.164
1.140,-1.282,0.308,-0.170
1.160,-1.250,0.325,-0.173
1.180,-1.197,0.351,-0.150
1.200,-1.140,0.356,-0.108
1.220,-1.089,0.322,-0.046
1.240,-1.050,0.278,-0.005
1.260,-1.013,0.248,0.012
1.280,-0.968,0.235,0.012
1.300,-0.921,0.237,-0.021
1.320,-0.863,0.259,-0.057
1.340,-0.819,0.271,-0.117
1.360,-0.772,0.274,-0.165
1.380,-0.725,0.270,-0.184
1.400,-0.684,0.258,-0.196
1.420,-0.662,0.238,-0.190
1.440,-0.654,0.200,-0.141
1.460,-0.653,0.167,-0.087
1.480,-0.667,0.138,-0.043
1.500,-0.696,0.131,0.008
1.520,-0.746,0.122,0.074
1.540,-0.811,0.106,0.160
1.560,-0.863,0.111,0.244
1.580,-0.910,0.112,0.301
1.600,-0.949,0.132,0.328
1.620,-0.975,0.178,0.330
1.640,-0.996,0.229,0.288
1.660,-1.019,0.252,0.209
1.680,-1.040,0.257,0.119
1.700,-1.049,0.260,0.062
1.720,-1.062,0.251,0.029
1.740,-1.068,0.243,0.022
1.760,-1.062,0.242,0.045
1.780,-1.058,0.237,0.086
1.800,-1.052,0.217,0.150
1.820,-1.058,0.204,0.186
1.840,-1.084,0.198,0.166
1.860,-1.106,0.192,0.133
1.880,-1.105,0.204,0.109
1.900,-1.096,0.227,0.078
1.920,-1.086,0.234,0.056
1.940,-1.072,0.234,0.058
